商品名,URL,小分類,効能効果,特徴,エキス,生薬,添加物,1日容量,用法用量,使用上の注意,用法に関する注意
金羚感冒散,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1601000128,生薬製剤,かぜによるのどの痛み・口（のど）の渇き・せき・頭痛,"かぜは、悪寒、発熱、頭痛や鼻、ノドなどに炎症を伴う疾患で、一般にかぜ症候群といわれます。漢方では寒けが強く、うすい鼻水や痰がタラタラと出て、節々が痛いときは「傷寒」といい、熱っぽく（発熱）、ノドが赤くはれて痛み、痰や鼻水が粘り口が渇くときは、「温病」といいます。
　金羚感冒散は、温病の諸症状に用いられる代表的なお薬です。寒冷（冷え）より、熱が原因となるかぜですので、夏かぜの諸症状にもよく応用されています。",エキス散(5.92g),キンギンカ(4.26g)、レンギョウ(4.26g)、カンゾウ(2.556g)、キキョウ(2.556g)、ハッカ(2.556g)、ゴボウシ(2.136g)、タンズシ(2.136g)、ケイガイ(1.704g)、タンチクヨウ(1.704g)、レイヨウカク(0.132g),含水二酸化ケイ素、軽質無水ケイ酸、ステアリン酸マグネシウム,3包(7.5g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
成人（15歳以上）：1包または2.5g：3回
15歳未満7歳以上：1／2包または1.3g：3回
7歳未満5歳以上：1／4包または0.6g：3回
5歳未満：服用しないでください

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 短期間の服用にとどめ、連用はしないでください
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）胃腸の弱い人。
　（5）高齢者。
　（6）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
　（7）次の症状のある人。
　　むくみ
　（8）次の診断を受けた人。
　　高血圧、心臓病、腎臓病
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：吐き気、食欲不振、胃部不快感

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。

3．5～6日間服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
金羚感冒錠,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1601000129,生薬製剤,かぜによるのどの痛み・口（のど）の渇き・せき・頭痛,"かぜは、悪寒、発熱、頭痛や鼻、ノドなどに炎症を伴う疾患で、一般にかぜ症候群といわれます。漢方では寒けが強く、うすい鼻水や痰がタラタラと出て、節々が痛いときは「傷寒」といい、熱っぽく（発熱）、ノドが赤くはれて痛み、痰や鼻水が粘り口が渇くときは、「温病」といいます。
　金羚感冒錠は、温病の諸症状に用いられる代表的なお薬です。寒冷（冷え）より、熱が原因となるかぜですので、夏かぜの諸症状にもよく応用されています。",エキス散(5.92g),キンギンカ(4.26g)、レンギョウ(4.26g)、カンゾウ(2.556g)、キキョウ(2.556g)、ハッカ(2.556g)、ゴボウシ(2.136g)、タンズシ(2.136g)、ケイガイ(1.704g)、タンチクヨウ(1.704g)、レイヨウカク(0.132g),カルメロースカルシウム(CMC-Ca)、含水二酸化ケイ素、クロスカルメロースナトリウム(クロスCMC-Na)、軽質無水ケイ酸、ステアリン酸マグネシウム、アメ粉,24錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
成人（15歳以上）：8錠：3回
15歳未満7歳以上：4錠：3回
7歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 短期間の服用にとどめ、連用はしないでください
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）胃腸の弱い人。
　（5）高齢者。
　（6）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
　（7）次の症状のある人。
　　むくみ
　（8）次の診断を受けた人。
　　高血圧、心臓病、腎臓病
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：吐き気、食欲不振、胃部不快感

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。

3．5～6日間服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
九味檳榔湯エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1301000092,九味檳榔湯,体力中等度以上で、全身倦怠感があり、とくに下肢の倦怠感が著しいものの次の諸症：疲労倦怠感、むくみ、関節のはれや痛み、動悸、息切れ、神経症、更年期障害、胃腸炎,"かつては脚気（ビタミンB1欠乏症）様症状である足のむくみ、痛み、動悸、息切れなどによく使われた処方です。今日の日本では食生活が改善された一方で、手軽に摂れる食品が豊富になり、不規則な社会生活とあいまって、食の偏りが目立つようになりました。生活面の整備が進み、汗をかきにくい環境になった中で、水分や味の濃い物の摂り過ぎで体に余計な水を溜めこんでしまうようです。このような偏食や水分代謝の異常により、下半身のだるさ、むくみを訴える現代人が多くなっています。
　このような方に九味檳榔湯エキス細粒G「コタロー」がよく用いられます。食生活が乱れて、全身の倦怠感を訴えて、下肢の腫れ・だるさ、過食していないのに太る（水太り）、むくむなどの症状にぜひ活用してください。",水製エキス(2.96g),ビンロウジ(3.2g)、キッピ(2.4g)、ケイヒ(2.4g)、コウボク(2.4g)、ブクリョウ(2.4g)、ソヨウ(1.2g)、カンゾウ(0.8g)、ゴシュユ(0.8g)、ショウキョウ(0.8g)、ダイオウ(0.8g)、モッコウ(0.8g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,3包(4.8g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包：3回
15歳未満7歳以上：2／3包：3回
7歳未満4歳以上：1／2包：3回
4歳未満2歳以上：1／3包：3回
2歳未満：1／4包：3回","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 1．次の人は服用しないでください
　生後3ヵ月未満の乳児。
2．本剤を服用している間は、次の医薬品を服用しないでください
　他の瀉下薬（下剤）
3．授乳中の人は本剤を服用しないか、本剤を服用する場合は授乳を避けてください
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）胃腸が弱く下痢しやすい人。
　（5）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：はげしい腹痛を伴う下痢、腹痛

3．服用後、次の症状があらわれることがありますので、このような症状の持続または増強が見られた場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　軟便、下痢
4．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）1歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。"
荊芥連翹湯エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1301000084,荊芥連翹湯,体力中等度以上で、皮膚の色が浅黒く、ときに手足の裏に脂汗をかきやすく腹壁が緊張しているものの次の諸症：慢性鼻炎、慢性扁桃炎、蓄膿症（副鼻腔炎）、にきび,"蓄膿症やアレルギーによる鼻炎などがなかなか治らず、治療に通ったり、あきらめたりといった具合で、「鼻」に悩んでおられる方が近年大変増えています。
　漢方では、過敏な体質またはアレルギー体質で、粘膜・皮膚が外界の刺激に反応しやすく、炎症反応を起こしやすい体質を解毒証体質と呼んでいますが、このような方は鼻症状を起こしやすく、また扁桃をしょっちゅう腫らしたり、ニキビがなかなか治らなかったりします。
　荊芥連翹湯エキス細粒G「コタロー」は、これらの症状を治していく漢方薬でありますが、同時に水分や脂肪分の摂取を控えるなど、食生活や生活習慣の改善を心がけることも大切です。",エキス散(5.6g),オウゴン(1.2g)、オウバク(1.2g)、オウレン(1.2g)、キキョウ(1.2g)、キジツ(1.2g)、ケイガイ(1.2g)、サイコ(1.2g)、サンシシ(1.2g)、ジオウ(1.2g)、シャクヤク(1.2g)、センキュウ(1.2g)、トウキ(1.2g)、ハッカ(1.2g)、ビャクシ(1.2g)、ボウフウ(1.2g)、レンギョウ(1.2g)、カンゾウ(0.8g),含水二酸化ケイ素、軽質無水ケイ酸、ステアリン酸マグネシウム、トウモロコシデンプン、アメ粉,3包(7.5g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包または2.5g：3回
15歳未満7歳以上：2／3包または1.7g：3回
7歳未満4歳以上：1／2包または1.3g：3回
4歳未満2歳以上：1／3包または0.8g：3回
2歳未満：1／4包または0.6g：3回

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 次の人は服用しないでください
　生後3ヵ月未満の乳児。
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）胃腸が弱く下痢しやすい人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：食欲不振、胃部不快感

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
間質性肺炎：階段を上ったり、少し無理をしたりすると息切れがする・息苦しくなる、空せき、発熱等がみられ、これらが急にあらわれたり、持続したりする。
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。
腸間膜静脈硬化症：長期服用により、腹痛、下痢、便秘、腹部膨満等が繰り返しあらわれる。

3．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
4．長期連用する場合には、医師、薬剤師または登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）1歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。"
桂枝加黄耆湯エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1101000337,桂枝加黄耆湯,体力虚弱なものの次の諸症：湿疹・皮膚炎、あせも、ねあせ,"昔からお肌のお手入れにいろいろな方法が取り入れられてきました。お肌の弱い方は、夏は汗をかくとあせもができやすく、夜睡眠中にもよく汗をかくなどお肌に湿疹や炎症を引き起こしやすくなります。
　桂枝加黄耆湯エキス細粒G「コタロー」はあちこちに化膿性あるいは湿性の湿疹ができ、治ったと思ったらまたできるという人に適した皮膚病の漢方薬です。",エキス散(3.3g),ケイヒ(3.2g)、シャクヤク(3.2g)、タイソウ(3.2g)、オウギ(2.4g)、カンゾウ(1.6g)、ショウキョウ(0.8g),含水二酸化ケイ素、ステアリン酸マグネシウム、トウモロコシデンプン,3包(4.5g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包または1.5g：3回
15歳未満7歳以上：2／3包または1.0g：3回
7歳未満4歳以上：1／2包または0.75g：3回
4歳未満2歳以上：1／3包または0.5g：3回
2歳未満：1／4包または0.37g：3回

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 次の人は服用しないでください
　生後3ヵ月未満の乳児。
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）高齢者。
　（4）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
　（5）次の症状のある人。
　　むくみ
　（6）次の診断を受けた人。
　　高血圧、心臓病、腎臓病
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。

3．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
4．長期連用する場合には、医師、薬剤師または登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）1歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。"
桂枝五物湯エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J2201000071,生薬製剤,口中の痙痛とただれ及びあれのあるものの次の諸症状：口内炎・歯根炎、歯槽膿漏等の口臭,"本剤は、口中の病気に用いる生薬製剤で、口中の痛み、ただれ、荒れ、口臭など不快な症状を和らげます。
　桂枝五物湯エキス細粒G「コタロー」は、口中の痙痛、ただれ、荒れがある方の口内炎・歯根炎、歯槽膿漏等の口臭に用いられます。",水製エキス(5.4g),ブクリョウ(8g)、オウゴン(4g)、キキョウ(4g)、ケイヒ(4g)、ジオウ(4g),含水二酸化ケイ素、ステアリン酸マグネシウム、アメ粉,3包(7.5g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
成人（15歳以上）：1包または2.5g：3回
15歳未満7歳以上：1／2包または1.3g：3回
7歳未満4歳以上：1／4包または0.7g：3回
4歳未満：服用しないでください

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 次の人は服用しないでください
　4歳未満の乳幼児。
 


 ■相談すること
 

 1．次の人は服用前に医師、歯科医師、薬剤師または登録販売者に相談してください
　（1）医師または歯科医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）胃腸が弱く下痢しやすい人。
　（5）高齢者。
　（6）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：吐き気、食欲不振、胃部不快感、腹痛など

3．服用後、次の症状があらわれることがありますので、このような症状の持続または増強が見られた場合には、服用を中止し、医師、薬剤師または登録販売者に相談してください
　下痢
4．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、歯科医師、薬剤師または登録販売者に相談してください
5．長期連用する場合には、医師、歯科医師、薬剤師または登録販売者に相談してください","（1）定められた用法・用量を守ってください。
（2）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。"
桂枝芍薬知母湯エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1401000031,桂枝芍薬知母湯,体力虚弱で、皮膚が乾燥し、四肢あるいは諸関節のはれが慢性に経過して、痛むものの次の諸症：関節のはれや痛み、関節炎、神経痛,"体質的には虚弱で、関節などに水をためやすく、寒い冬や湿気の多い梅雨などが来ると手足の関節の状態が悪くなり、屈伸ができない。それを我慢して手足を酷使すると、その患部に炎症が起き、赤くはれたような状態になることがあります。
　桂枝芍薬知母湯エキス細粒G「コタロー」はこのようなタイプの関節のはれ・痛みあるいは神経痛に役立つ漢方薬です。",水製エキス(4g),ビャクジュツ(3.2g)、ケイヒ(2.4g)、シャクヤク(2.4g)、チモ(2.4g)、ボウフウ(2.4g)、マオウ(2.4g)、カンゾウ(1.2g)、ショウキョウ(0.8g)、ブシ2(0.8g),含水二酸化ケイ素、ステアリン酸マグネシウム、トウモロコシデンプン、アメ粉,3包(6g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包：3回
15歳未満7歳以上：2／3包：3回
7歳未満4歳以上：1／2包：3回
4歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）胃腸の弱い人。
　（5）のぼせが強く赤ら顔で体力の充実している人。
　（6）発汗傾向の著しい人。
　（7）高齢者。
　（8）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
　（9）次の症状のある人。
　　むくみ、排尿困難
　（10）次の診断を受けた人。
　　高血圧、心臓病、腎臓病、甲状腺機能障害
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：吐き気、食欲不振、胃部不快感
その他：動悸、のぼせ、ほてり、口唇・舌のしびれ

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。

3．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
4．長期連用する場合には、医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
桂枝茯苓丸料エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0801000350,桂枝茯苓丸,比較的体力があり、ときに下腹部痛、肩こり、頭重、めまい、のぼせて足冷えなどを訴えるものの次の諸症：月経不順、月経異常、月経痛、更年期障害、血の道症、肩こり、打ち身（打撲症）、めまい、頭重、しみ、湿疹・皮膚炎、にきび、しもやけ,"本剤は、のぼせやすく、足は逆に冷えるといった体質傾向（漢方でいうお血）の方に用いる処方です。
　桂枝茯苓丸料エキス細粒G「コタロー」は、体力はあるのに、生理が不順であり、またつらい方、打撲すると内出血を起こす方、のぼせて足が冷え、肩こり、頭痛を訴える方に効果があります。",桂枝茯苓丸エキス(2.24g),ケイヒ(3.2g)、シャクヤク(3.2g)、トウニン(3.2g)、ブクリョウ(3.2g)、ボタンピ(3.2g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,3包(4.8g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包または1.6g：3回
15歳未満7歳以上：2／3包または1.1g：3回
7歳未満4歳以上：1／2包または0.8g：3回
4歳未満：服用しないでください

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：食欲不振

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。

3．服用後、次の症状があらわれることがありますので、このような症状の持続または増強が見られた場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　下痢
4．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
荊防敗毒散エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1001000006,荊防敗毒散,比較的体力があるものの次の諸症：急性化膿性皮膚疾患の初期、湿疹・皮膚炎,"この処方名には「荊芥・防風を主薬とした化膿などの毒を敗退（しりぞく）させる散剤」という意味があります。発表薬（発汗薬）が主薬になっていることから、病邪が皮膚表面にとどまっている状態（主に初期の皮膚化膿症）によいと考えられています。
　荊防敗毒散エキス細粒G「コタロー」は、湿疹や皮膚炎などの化膿症の初期で、発赤（赤い）、腫脹（はれる）、疼痛（痛い）など炎症症状が顕著なものを改善させる漢方薬です。",水製エキス(4.8g),キキョウ(1.6g)、キコク(1.6g)、キョウカツ(1.6g)、キンギンカ(1.6g)、ケイガイ(1.6g)、サイコ(1.6g)、センキュウ(1.6g)、ゼンコ(1.6g)、ドクカツ(1.6g)、ハッカ(1.6g)、ブクリョウ(1.6g)、ボウフウ(1.6g)、レンギョウ(1.6g)、カンゾウ(0.8g),含水二酸化ケイ素、ステアリン酸マグネシウム,3包(6g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包または2.0g：3回
15歳未満7歳以上：2／3包または1.33g：3回
7歳未満4歳以上：1／2包または1.0g：3回
4歳未満2歳以上：1／3包または0.67g：3回
2歳未満：1／4包または0.5g：3回

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 次の人は服用しないでください
　生後3ヵ月未満の乳児。
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）胃腸が弱く下痢しやすい人。
　（4）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：食欲不振、胃部不快感

3．1週間位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
4．本剤の服用により、まれに症状が進行することもありますので、このような場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）1歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。"
甲字湯エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1501000263,甲字湯,比較的体力があり、ときに下腹部痛、肩こり、頭重、めまい、のぼせて足冷えなどを訴えるものの次の諸症：月経不順、月経異常、月経痛、更年期障害、血の道症、肩こり、打ち身（打撲症）、めまい、頭重、しみ、しもやけ,"甲字湯は、江戸時代後期の水戸藩侍医の原南陽が創った「お血を理する」（滞った血流を改善する）処方で、桂枝茯苓丸に、胃の働きを整えるとされる甘草と生姜を加えた漢方薬です。お血による諸症状、血の道症、生理不順、のぼせやすく足は逆に冷える、打ち身があざになりやすいという方に用います。
　甲字湯エキス細粒G「コタロー」は、比較的体力がある方で、生理が不順でつらい方、打撲すると内出血を起こす方、のぼせて足が冷え、肩こり、頭痛が生じる方に効果があります。",水製エキス(1.8g),ケイヒ(3.2g)、シャクヤク(3.2g)、トウニン(3.2g)、ブクリョウ(3.2g)、ボタンピ(3.2g)、カンゾウ(1.2g)、ショウキョウ(0.6g),含水二酸化ケイ素、ステアリン酸マグネシウム、アメ粉,3包(3g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包：3回
15歳未満7歳以上：2／3包：3回
7歳未満4歳以上：1／2包：3回
4歳未満2歳以上：1／3包：3回
2歳未満：1／4包：3回","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 次の人は服用しないでください
　生後3ヵ月未満の乳児。
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）高齢者。
　（5）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
　（6）次の症状のある人。
　　むくみ
　（7）次の診断を受けた人。
　　高血圧、心臓病、腎臓病
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：食欲不振

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。

3．服用後、次の症状があらわれることがありますので、このような症状の持続または増強が見られた場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　下痢
4．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
5．長期連用する場合には、医師、薬剤師または登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）1歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。"
