商品名,URL,小分類,効能効果,特徴,エキス,生薬,添加物,1日容量,用法用量,使用上の注意,用法に関する注意
小太郎漢方ぢ内服薬N,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J2101000123,乙字湯,体力中等度以上で、大便がかたく、便秘傾向のあるものの次の諸症：痔核（いぼ痔）、きれ痔、便秘、軽度の脱肛,"痔は、肛門周囲に分布する静脈がうっ血することにより起こり、便秘・排便時の過度のいきみ、刺激性飲食物の過度の摂取、長時間の立位や座位または妊娠が原因といわれています。
　小太郎漢方ぢ内服薬Nは、便通を整え、また血液循環を良くし、うっ血を改善することにより、便秘や痔に効果がある漢方の内服薬です。
　なお、普段の食生活に気を配ったり、いつも清潔にしておくことが大切です。",乙字湯エキス散(2.7g),トウキ(3g)、サイコ(2.5g)、オウゴン(1.5g)、カンゾウ(1g)、ショウマ(0.75g)、ダイオウ(0.5g),含水二酸化ケイ素、クロスカルメロースナトリウム(クロスCMC-Na)、軽質無水ケイ酸、ステアリン酸マグネシウム、トウモロコシデンプン,9錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：3錠：3回
15歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 1．本剤を服用している間は、次の医薬品を服用しないでください
　他の瀉下薬（下剤）
2．授乳中の人は本剤を服用しないか、本剤を服用する場合は授乳を避けてください
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）胃腸が弱く下痢しやすい人。
　（5）高齢者。
　（6）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
　（7）次の症状のある人。
　　むくみ
　（8）次の診断を受けた人。
　　高血圧、心臓病、腎臓病
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：吐き気・嘔吐、食欲不振、はげしい腹痛を伴う下痢、腹痛

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
間質性肺炎：階段を上ったり、少し無理をしたりすると息切れがする・息苦しくなる、空せき、発熱等がみられ、これらが急にあらわれたり、持続したりする。
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。

3．服用後、次の症状があらわれることがありますので、このような症状の持続または増強が見られた場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　下痢
4．1ヵ月位（きれ痔、便秘に服用する場合には5～6日間）服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
5．長期連用する場合には、医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
小太郎漢方の生薬便秘薬Ns,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0901000367,瀉下薬,便秘。便秘に伴う次の症状の緩和：肌あれ、吹出物、食欲不振（食欲減退）、腹部膨満、腸内異常醗酵、頭重、のぼせ、痔,"規則正しい便通は健康のバロメーターです。
　生活環境が変わったり、体に変調をきたすと便秘を起こすことがよくあります。また、便秘が続くとオナカが張ったり、頭が重くなったりするばかりでなく、肌があれたり、吹出物が出ることもあります。
　小太郎漢方の生薬便秘薬Ns、便の排泄を高めるダイオウ、アロエ、センナに腸管の運動を整えるシャクヤク、キジツ、コウボクなどを配合した飲みやすいお薬です。",,センナ末(0.7g)、ダイオウ末(0.3g)、シャクヤク末(0.2g)、カンゾウ末(0.15g)、アロエ末(0.1g)、ガジュツ末(0.075g)、コウボク末(0.075g)、キジツ末(0.05g),含水二酸化ケイ素、クロスカルメロースナトリウム(クロスCMC-Na)、結晶セルロース、ステアリン酸マグネシウム、アメ粉,6錠,"なるべく空腹時に服用してください。
服用間隔は4時間以上おいてください。
ただし、初回は最小量を用い、便通の具合や状態をみながら少しずつ増量または減量してください。

［年齢：1回量：1日服用回数］
成人（15歳以上）：2～3錠：2回を限度
15歳未満7歳以上：1～2錠：2回を限度
7歳未満：服用しないでください","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 1．本剤を服用している間は、次の医薬品を服用しないでください
　他の瀉下薬（下剤）
2．授乳中の人は本剤を服用しないか、本剤を服用する場合は授乳を避けてください
3．大量に服用しないでください
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）薬などによりアレルギー症状を起こしたことがある人。
　（4）次の症状のある人。
　　はげしい腹痛、吐き気・嘔吐
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：はげしい腹痛、吐き気・嘔吐

3．服用後、次の症状があらわれることがありますので、このような症状の持続または増強が見られた場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　下痢
4．1週間位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
小太郎漢方鼻炎薬A「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0701000710,葛根湯加川芎辛夷,慢性鼻炎、鼻づまり、蓄膿症,"私達をとり巻く環境や食生活は著しく変化し、鼻炎に悩まされている人が増えています。鼻がつまるのはうっとうしいもので、慢性化すると根気や集中力まで低下することもしばしばです。
　小太郎漢方鼻炎薬A「コタロー」（葛根湯加辛夷川きゅうエキス錠）は、鼻炎が続くと発症しやすい鼻づまりを中心に、慢性鼻炎や蓄膿症にも用いられます。",葛根湯加川きゅう辛夷エキス(2.25g),カッコン(2g)、マオウ(2g)、シンイ(1.5g)、センキュウ(1.5g)、タイソウ(1.5g)、カンゾウ(1g)、ケイヒ(1g)、シャクヤク(1g)、ショウキョウ(0.5g),含水二酸化ケイ素、酸化チタン、ステアリン酸マグネシウム、タルク、トウモロコシデンプン、乳糖水和物、ヒプロメロース(ヒドロキシプロピルメチルセルロース)、アメ粉、メタケイ酸アルミン酸マグネシウム、カラメル、カルナウバロウ、サラシミツロウ,9錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：3錠：3回
15歳未満7歳以上：2錠：3回
7歳未満5歳以上：1錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）胃腸の弱い人。
　（5）発汗傾向の著しい人。
　（6）高齢者。
　（7）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
　（8）次の症状のある人。
　　むくみ、排尿困難
　（9）次の診断を受けた人。
　　高血圧、心臓病、腎臓病、甲状腺機能障害
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：吐き気、食欲不振、胃部不快感

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。

3．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
4．長期連用する場合には、医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
コムロン,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1001000443,芍薬甘草湯,体力に関わらず使用でき、筋肉の急激なけいれんを伴う痛みのあるものの次の諸症：こむらがえり、筋肉のけいれん、腰痛、腹痛,コムロンは、筋肉や手足、消化管（平滑筋）などのけいれん、疼痛に用いられます。急激におこる筋肉のけいれんは各所に痛みをもたらします。こむらがえり、腰痛、腹痛などに効果があり、漢方の鎮痛剤といわれています。,芍薬甘草湯エキス散(1.5g),カンゾウ(2.5g)、シャクヤク(2.5g),含水二酸化ケイ素、クロスカルメロースナトリウム(クロスCMC-Na)、軽質無水ケイ酸、ステアリン酸マグネシウム,3錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1錠：3回
15歳未満：服用しないでください","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 1．次の人は服用しないでください
　次の診断を受けた人。
　　心臓病
2．症状があるときのみの服用にとどめ、連用しないでください
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）高齢者。
　（4）次の症状のある人。
　　むくみ
　（5）次の診断を受けた人。
　　高血圧、腎臓病
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
間質性肺炎：階段を上ったり、少し無理をしたりすると息切れがする・息苦しくなる、空せき、発熱等がみられ、これらが急にあらわれたり、持続したりする。
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
うっ血性心不全：全身のだるさ、動悸、息切れ、胸部の不快感、胸が痛む、めまい、失神等があらわれる。
心室頻拍：全身のだるさ、動悸、息切れ、胸部の不快感、胸が痛む、めまい、失神等があらわれる。
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。

3．5～6回服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください","（1）定められた用法・用量を厳守してください。
（2）カプレット（錠剤）の取り出し方
　カプレットの入っているPTPシートの凸部を指先で強く押して、裏面のアルミ箔を破り、アルミ片を除いて取り出してから服用してください。（誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります）"
五淋散エキス錠N「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1401000046,五淋散,体力中等度のものの次の諸症：排尿痛、頻尿、残尿感、尿のにごり,"ちょっとしたかぜや、からだ（特に下半身）が冷えたり、疲れたとき、あるいは排尿を長時間我慢したことが引き金となって、昼夜を問わずトイレが近くなり、そのたびに耐えられない排尿痛があり、尿の色が濃いまたは濁っている、といったことが起こることがあります。
　一般に女性に多いものですが、専門的な治療を受けてよくなっても、患部に不快感や残尿感があったり、すぐまた再発する場合も少なくありません。
　五淋散エキス錠N「コタロー」は、このような泌尿器の炎症による症状をとるのに用いられる漢方薬です。",エキス散(3.36g),ブクリョウ(3g)、オウゴン(1.5g)、カッセキ(1.5g)、カンゾウ(1.5g)、ジオウ(1.5g)、シャゼンシ(1.5g)、タクシャ(1.5g)、トウキ(1.5g)、モクツウ(1.5g)、サンシシ(1g)、シャクヤク(1g),カルメロースカルシウム(CMC-Ca)、含水二酸化ケイ素、軽質無水ケイ酸、ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物,15錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：5錠：3回
15歳未満7歳以上：4錠：3回
7歳未満5歳以上：3錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）胃腸が弱く下痢しやすい人。
　（4）高齢者。
　（5）次の症状のある人。
　　むくみ
　（6）次の診断を受けた人。
　　高血圧、心臓病、腎臓病
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
消化器：食欲不振、胃部不快感

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
間質性肺炎：階段を上ったり、少し無理をしたりすると息切れがする・息苦しくなる、空せき、発熱等がみられ、これらが急にあらわれたり、持続したりする。
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
腸間膜静脈硬化症：長期服用により、腹痛、下痢、便秘、腹部膨満等が繰り返しあらわれる。

3．服用後、次の症状があらわれることがありますので、このような症状の持続または増強が見られた場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　下痢
4．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
5．長期連用する場合には、医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
五淋散カプレット「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1101000251,五淋散,体力中等度のものの次の諸症：排尿痛、頻尿、残尿感、尿のにごり,"ちょっとしたかぜや、からだ（特に下半身）が冷えたり、疲れたとき、あるいは排尿を長時間我慢したことが引き金となって、昼夜を問わずトイレが近くなり、そのたびに耐えられない排尿痛があり、尿の色が濃いまたは濁っている、といったことが起こることがあります。
　一般に女性に多いものですが、専門的な治療を受けてよくなっても、患部に不快感や残尿感がのこっていたり、すぐまた再発する場合も少なくありません。
　五淋散カプレット「コタロー」は、このような泌尿器の炎症による症状をとるのに用いられる漢方薬です。",エキス散(3.36g),ブクリョウ(3g)、オウゴン(1.5g)、カッセキ(1.5g)、カンゾウ(1.5g)、ジオウ(1.5g)、シャゼンシ(1.5g)、タクシャ(1.5g)、トウキ(1.5g)、モクツウ(1.5g)、サンシシ(1g)、シャクヤク(1g),含水二酸化ケイ素、カンテン末、クロスカルメロースナトリウム(クロスCMC-Na)、軽質無水ケイ酸、ステアリン酸マグネシウム、マクロゴール6000,6錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）及び7歳以上：2錠：3回
7歳未満5歳以上：1錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）胃腸が弱く下痢しやすい人。
　（4）高齢者。
　（5）次の症状のある人。
　　むくみ
　（6）次の診断を受けた人。
　　高血圧、心臓病、腎臓病
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
消化器：食欲不振、胃部不快感

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
間質性肺炎：階段を上ったり、少し無理をしたりすると息切れがする・息苦しくなる、空せき、発熱等がみられ、これらが急にあらわれたり、持続したりする。
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
腸間膜静脈硬化症：長期服用により、腹痛、下痢、便秘、腹部膨満等が繰り返しあらわれる。

3．服用後、次の症状があらわれることがありますので、このような症状の持続または増強が見られた場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　下痢
4．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
5．長期連用する場合には、医師、薬剤師または登録販売者に相談してください","（1）定められた用法・用量を厳守してください。
（2）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（3）カプレット（錠剤）の取り出し方
　カプレットの入っているPTPシートの凸部を指先で強く押して、裏面のアルミ箔を破り、アルミ片を除いて取り出してから服用してください。（誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります）"
小青竜湯エキス錠N「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1201000175,小青竜湯,体力中等度又はやや虚弱で、うすい水様のたんを伴うせきや鼻水が出るものの次の諸症：アレルギー性鼻炎、花粉症、気管支炎、気管支ぜんそく、鼻炎、むくみ、感冒,"本剤は、鼻水、鼻炎、咳、ぜんそくなどの漢方薬として用いられる処方です。
　小青竜湯エキス錠N「コタロー」は、普段から水分の多い食物や、冷たいものをとりがちで、寒冷、アレルギー、感染など外からの刺激があるとゼイゼイと喘鳴を伴う咳をしたり、鼻水が止まらなくなったり、くしゃみを頻発するといったぜんそく、鼻炎などの症状の方に効果があります。",小青竜湯エキス散(2.5g),ハンゲ(3g)、カンキョウ(1.5g)、カンゾウ(1.5g)、ケイヒ(1.5g)、ゴミシ(1.5g)、サイシン(1.5g)、シャクヤク(1.5g)、マオウ(1.5g),カルメロースカルシウム(CMC-Ca)、含水二酸化ケイ素、軽質無水ケイ酸、ステアリン酸マグネシウム、トウモロコシデンプン、アメ粉,12錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：4錠：3回
15歳未満7歳以上：3錠：3回
7歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）胃腸の弱い人。
　（5）発汗傾向の著しい人。
　（6）高齢者。
　（7）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
　（8）次の症状のある人。
　　むくみ、排尿困難
　（9）次の診断を受けた人。
　　高血圧、心臓病、腎臓病、甲状腺機能障害
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：吐き気、食欲不振、胃部不快感

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
間質性肺炎：階段を上ったり、少し無理をしたりすると息切れがする・息苦しくなる、空せき、発熱等がみられ、これらが急にあらわれたり、持続したりする。
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。

3．1ヵ月位（感冒に服用する場合には5～6日間）服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
4．長期連用する場合には、医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
疎経活血湯エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0601009974,疎経活血湯,腰痛、関節痛、神経痛、筋肉痛,"本剤は、漢方の古典「万病回春」（明代）に収載の処方に準拠して製造された漢方エキス細粒です。
　手足の関節や、腰から下あるいは肩、くび、腕などが痛み、時には腫れたり、しびれたりして日常生活に支障を来たしている方が少なくありません。
　これらは時に夜間に痛みがひどくなったり、寒冷・湿気で悪化するなど、原因やあらわれ方もさまざまです。
　疎経活血湯エキス細粒G「コタロー」は、経を疎し（気血の道の通りをよくし）、血を活かして（血行をよくして）上記の症状を改善する薬です。",水製エキス(3.6g),シャクヤク(1.25g)、ジオウ(1g)、センキュウ(1g)、ソウジュツ(1g)、トウキ(1g)、トウニン(1g)、ブクリョウ(1g)、イレイセン(0.75g)、ゴシツ(0.75g)、チンピ(0.75g)、ビャクシ(0.75g)、ボウイ(0.75g)、ボウフウ(0.75g)、リュウタン(0.75g)、ワキョウカツ(0.75g)、カンゾウ(0.5g)、ショウキョウ(0.5g),含水二酸化ケイ素、ステアリン酸マグネシウム,3包(4.5g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包または1.5g：3回
15歳未満7歳以上：2／3包または1.0g：3回
7歳未満4歳以上：1／2包または0.75g：3回
4歳未満2歳以上：1／3包または0.5g：3回
2歳未満：服用しないでください

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）胃腸が弱く下痢しやすい人。
　（4）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：食欲不振、胃部不快感

3．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
当帰芍薬散エキス錠N「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1101000054,当帰芍薬散,体力虚弱で、冷え症で貧血の傾向があり疲労しやすく、ときに下腹部痛、頭重、めまい、肩こり、耳鳴り、動悸などを訴えるものの次の諸症：月経不順、月経異常、月経痛、更年期障害、産前産後あるいは流産による障害（貧血、疲労倦怠、めまい、むくみ）、めまい・立ちくらみ、頭重、肩こり、腰痛、足腰の冷え症、しもやけ、むくみ、しみ、耳鳴り,"本剤は、冷え症や貧血傾向があり疲れやすいタイプの方に用いる処方です。
　このタイプの方は、からだが冷えて夏場でも靴下が手放せない、厚着を好む、お肌や髪の毛にツヤがなくなり爪がもろくなる、朝方は頭がボーッとしていて夕方頃から調子が出てくるなどの特徴があります。
　当帰芍薬散エキス錠N「コタロー」は、体力がなく、冷え症、貧血気味で、生理が不順であり、つらい方に用います。さらに産前産後、流産時に貧血や体のだるさがある方にも使われます。体内の水分が停滞した場合に起こりやすい、めまい、立ちくらみ、むくみ、頭重、耳鳴りなどに用いられ、他にも肩こり、腰痛、足腰の冷え症などに効果があります。",当帰芍薬散エキス散(3.3g),シャクヤク(2g)、タクシャ(2g)、ビャクジュツ(2g)、ブクリョウ(2g)、センキュウ(1.5g)、トウキ(1.5g),含水二酸化ケイ素、クロスカルメロースナトリウム(クロスCMC-Na)、軽質無水ケイ酸、ステアリン酸マグネシウム、トウモロコシデンプン、アメ粉,12錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：4錠：3回
15歳未満7歳以上：3錠：3回
7歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）胃腸の弱い人。
　（3）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：食欲不振、胃部不快感

3．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
ネオカキックス細粒「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0601009574,柿蒂湯,しゃっくり,本剤は、漢方の古典「済生方」収載の処方にもとづいてつくられた漢方エキス細粒です。,水製エキス(0.6g),シテイ(5g)、チョウジ(1.5g)、ショウキョウ(1g),結晶セルロース、ステアリン酸マグネシウム、デキストリン、メタケイ酸アルミン酸マグネシウム,3包,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包：3回
15歳未満7歳以上：2／3包：3回
7歳未満4歳以上：1／2包：3回
4歳未満2歳以上：1／3包：3回
2歳未満：1／4包：3回","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 次の人は服用しないでください
　生後3ヵ月未満の乳児。
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ

3．5～6回服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）1歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。"
